2023-03-22 10:47:19.8735 INFO :	<OnConnectedAsync>d__19.MoveNext 	AccountId : 2 connect to SignalR success !!!
2023-03-22 10:48:28.4179 INFO :	<OnConnectedAsync>d__19.MoveNext 	Connect to signalR Failed due to accountId = 2 is Already Online 
2023-03-22 10:48:46.8774 INFO :	<OnDisconnectedAsync>d__18.MoveNext 	Player AccountId : 2  has disconnected
2023-03-22 15:59:06.3071 INFO :	<OnConnectedAsync>d__20.MoveNext 	AccountId : 4 connect to SignalR success !!!
2023-03-22 15:59:14.5838 INFO :	<BuyItem>d__9.MoveNext 	Action failed when AccountId = 4 buying iditem = 1
2023-03-22 16:01:06.1720 INFO :	<OnDisconnectedAsync>d__19.MoveNext 	Player AccountId : 4  has disconnected
2023-03-22 16:01:24.2921 INFO :	<OnConnectedAsync>d__20.MoveNext 	AccountId : 4 connect to SignalR success !!!
2023-03-22 16:01:30.6760 INFO :	<BuyItem>d__9.MoveNext 	AccountId = 4 has bought itemid = 1
2023-03-22 16:07:58.7276 INFO :	<OnDisconnectedAsync>d__19.MoveNext 	Player AccountId : 4  has disconnected
2023-03-22 17:18:05.2859 INFO :	<OnConnectedAsync>d__20.MoveNext 	AccountId : 4 connect to SignalR success !!!
2023-03-22 17:18:15.7405 INFO :	<BuyItem>d__9.MoveNext 	Action failed when AccountId = 4 buying iditem = 3
2023-03-22 17:19:11.9071 INFO :	<OnDisconnectedAsync>d__19.MoveNext 	Player AccountId : 4  has disconnected
2023-03-22 17:19:51.7563 INFO :	<OnConnectedAsync>d__20.MoveNext 	AccountId : 4 connect to SignalR success !!!
2023-03-22 17:20:32.9536 INFO :	<BuyItem>d__9.MoveNext 	AccountId = 4 has bought itemid = 7
2023-03-22 17:20:40.0569 INFO :	<OnDisconnectedAsync>d__19.MoveNext 	Player AccountId : 4  has disconnected
